date,temperature,humidity,rainfall,wind_speed,air_quality_index,uv_index,season,city_Ahmedabad,city_Bangalore,city_Bhopal,city_Chennai,city_Delhi,city_Ghaziabad,city_Hyderabad,city_Indore,city_Jaipur,city_Kanpur,city_Kolkata,city_Lucknow,city_Ludhiana,city_Mumbai,city_Nagpur,city_Patna,city_Pune,city_Surat,city_Vadodara
2016-02-26,35.4,56.2,17.3,9.3,100,5,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-27,30.9,95.0,2.3,2.6,200,11,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-28,33.9,82.6,2.8,7.9,100,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-02-29,15.0,79.5,7.4,5.7,150,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-03-01,22.6,82.6,2.2,7.9,100,8,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-03-02,24.3,91.8,1.2,19.1,150,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-03-03,45.0,20.0,0.2,13.4,100,5,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-03-04,28.6,69.2,5.1,2.5,100,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-03-05,25.4,61.0,4.0,5.2,300,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-06,42.4,38.2,2.2,10.1,150,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-03-07,19.4,20.0,10.6,14.9,100,11,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-08,31.5,57.2,5.5,11.7,50,8,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-09,29.5,78.4,4.4,15.5,300,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-03-10,15.0,72.0,10.1,-1.7,100,5,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-03-11,24.4,53.9,18.9,5.2,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-03-12,24.8,53.2,12.5,0.6,300,8,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-13,40.4,86.9,6.3,0.4,50,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-03-14,31.3,81.4,34.7,15.8,300,2,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-15,36.5,59.0,6.1,13.1,50,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-16,18.5,56.9,1.3,11.1,150,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-03-17,19.3,69.8,9.0,9.1,50,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-03-18,25.9,68.9,4.4,6.4,300,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-19,27.0,52.6,1.2,12.4,150,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-20,15.0,49.0,2.1,7.4,150,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-03-21,26.5,55.6,1.5,11.4,50,5,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-22,17.9,91.4,3.1,10.1,300,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-23,23.7,65.1,1.3,8.9,50,2,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-24,43.2,50.4,2.1,1.4,100,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-25,33.3,72.9,7.4,12.8,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-03-26,27.6,65.5,2.5,5.8,200,11,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-27,29.6,100.0,1.0,8.6,300,11,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-28,26.3,46.2,13.8,12.7,300,8,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-03-29,31.8,87.7,0.9,6.5,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-03-30,26.0,82.8,1.4,14.9,150,5,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-31,29.1,36.0,4.4,6.1,100,11,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,34.6,49.6,1.1,13.9,50,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-04-02,33.5,100.0,1.7,9.4,200,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-04-03,26.6,74.8,13.0,11.7,200,8,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-04-04,45.0,100.0,3.7,5.4,150,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-04-05,39.8,96.3,3.1,18.1,50,8,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-04-06,35.2,55.5,0.5,19.5,300,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-07,25.7,44.5,2.2,0.7,300,5,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-08,26.8,58.3,12.9,12.8,150,11,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-09,27.9,55.4,3.9,12.2,150,5,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-10,22.2,86.0,1.2,6.1,50,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-11,31.4,29.8,15.2,11.6,50,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-04-12,23.1,71.0,0.0,5.1,300,5,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-13,24.2,61.9,5.4,2.5,200,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-14,30.2,85.3,2.2,12.6,50,8,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-04-15,36.8,69.7,5.5,4.6,300,5,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-04-16,20.4,45.9,6.7,8.7,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-04-17,31.4,86.5,0.9,13.4,200,8,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-04-18,24.8,20.0,11.8,17.6,300,11,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-04-19,26.5,45.6,3.4,6.9,300,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-20,23.7,56.0,4.1,5.5,300,11,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-04-21,39.7,58.2,2.1,11.7,50,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-04-22,27.5,46.1,4.8,12.7,50,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-04-23,38.7,65.5,7.1,17.6,100,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-04-24,28.6,80.4,5.9,4.9,300,8,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-25,26.9,77.3,6.6,12.6,200,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-04-26,38.3,35.2,3.5,10.9,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-27,31.5,97.3,1.6,10.0,50,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-28,35.3,71.3,0.2,13.2,200,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-04-29,26.0,54.4,3.0,12.3,200,8,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-30,32.9,37.6,4.4,20.9,100,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-01,32.1,73.4,2.9,20.5,200,11,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-02,20.7,85.1,1.1,-0.1,100,11,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-03,36.5,61.5,0.5,13.2,300,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-05-04,19.0,74.5,4.5,8.4,50,5,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-05,28.5,58.5,4.9,12.5,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-05-06,41.4,71.7,1.7,6.1,200,8,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-05-07,45.0,60.5,1.7,10.2,150,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-05-08,28.4,81.1,10.1,8.0,150,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-05-09,15.0,78.2,0.7,15.1,100,8,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-10,29.7,58.8,4.9,-2.4,150,11,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-11,25.5,63.8,3.3,16.1,200,11,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-12,31.6,65.4,0.1,-2.5,50,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-05-13,26.7,72.0,0.2,9.0,100,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-14,32.7,50.7,1.9,11.3,150,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-15,18.6,73.7,7.4,12.4,50,11,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-16,19.7,70.1,5.2,8.3,300,5,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-17,27.3,51.7,0.9,6.6,150,2,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-05-18,31.8,41.8,20.2,14.3,200,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-19,29.1,54.3,3.1,4.9,100,8,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-05-20,19.5,46.4,12.3,3.3,100,5,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-21,40.4,74.5,13.1,3.2,100,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-05-22,33.0,82.7,1.1,9.7,50,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-23,15.0,70.2,1.7,13.9,50,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-05-24,39.3,90.1,7.7,2.4,50,5,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-05-25,29.1,59.1,4.6,12.9,100,11,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-05-26,34.3,59.1,3.9,4.6,100,5,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-05-27,27.7,43.3,0.5,8.8,200,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-05-28,27.4,100.0,3.6,17.2,50,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-29,18.3,49.7,4.1,13.2,100,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-05-30,37.7,71.9,6.1,7.2,200,11,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-31,15.0,56.5,0.5,10.5,150,8,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-06-01,28.0,83.8,4.9,23.8,50,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-06-02,28.3,80.2,0.4,10.5,300,11,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-03,27.2,65.1,0.6,5.7,200,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-04,36.2,60.3,20.0,10.4,50,11,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-06-05,37.3,27.2,13.4,8.6,150,8,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-06-06,22.1,77.4,1.3,18.6,100,8,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-06-07,30.2,83.3,2.1,3.8,300,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-08,15.0,81.3,1.9,21.0,100,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-06-09,23.6,75.8,1.6,2.8,50,11,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-06-10,15.0,48.2,0.8,11.2,300,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-06-11,19.2,51.3,3.4,8.9,150,11,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-12,30.8,25.2,11.8,13.8,200,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-13,38.1,46.2,9.3,11.2,300,11,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-14,28.6,43.6,7.5,16.4,50,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-15,23.8,66.4,5.4,4.7,150,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-16,30.1,55.4,2.9,11.2,300,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-06-17,41.6,79.0,4.2,17.3,150,8,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-06-18,26.6,67.5,1.3,10.9,100,11,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-06-19,32.1,42.8,1.4,13.5,100,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-20,27.5,61.6,3.7,5.7,300,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-06-21,33.5,86.4,12.6,13.1,100,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-06-22,34.6,62.3,0.5,7.6,150,5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-23,32.7,68.1,4.3,2.0,200,8,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-06-24,32.0,67.1,1.2,7.0,150,5,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-06-25,32.7,71.2,15.2,14.6,200,11,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-26,30.0,73.1,7.2,13.7,200,8,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-06-27,26.2,60.9,2.3,20.4,50,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-28,28.3,82.0,2.6,1.4,200,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-06-29,31.2,64.9,8.9,7.9,150,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-06-30,26.0,70.9,2.1,4.2,200,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-01,15.0,34.7,4.3,15.1,50,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-07-02,26.7,100.0,2.9,17.2,300,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-03,38.0,56.8,5.6,6.6,100,5,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-07-04,39.4,44.1,8.2,12.8,200,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-07-05,22.7,53.1,0.0,16.0,150,11,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-07-06,30.2,52.2,3.0,-2.3,150,11,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-07-07,31.8,45.4,1.3,11.4,100,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-08,33.8,49.6,3.1,9.2,100,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-07-09,32.8,30.4,0.1,3.0,300,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-07-10,21.1,38.6,24.2,13.9,200,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-11,19.6,49.7,1.6,5.4,100,11,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-07-12,25.2,56.3,5.9,8.0,150,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-13,28.2,60.1,8.1,6.7,300,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-07-14,29.7,57.7,6.8,12.5,150,5,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-07-15,25.2,82.3,0.8,5.7,150,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-16,22.1,66.6,3.6,10.0,200,8,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-07-17,31.6,89.2,8.2,3.1,200,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-07-18,36.8,78.4,19.1,-3.7,50,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-07-19,37.1,48.6,1.6,5.5,50,11,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-07-20,31.6,78.1,4.8,18.5,200,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-07-21,30.7,76.1,6.5,5.0,200,8,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
