date,city,temperature,humidity,rainfall,wind_speed,air_quality_index,uv_index,season
2016-03-11,Surat,24.4,53.9,18.9,5.2,200,2,Summer
2016-03-12,Lucknow,24.8,53.2,12.5,0.6,300,8,Summer
2016-03-13,Mumbai,40.4,86.9,6.3,0.4,50,5,Summer
2016-03-14,Hyderabad,31.3,81.4,34.7,15.8,300,2,Summer
2016-03-15,Bhopal,36.5,59.0,6.1,13.1,50,8,Summer
2016-03-16,Nagpur,18.5,56.9,1.3,11.1,150,5,Summer
2016-03-17,Vadodara,19.3,69.8,9.0,9.1,50,5,Summer
2016-03-18,Ahmedabad,25.9,68.9,4.4,6.4,300,2,Summer
2016-03-19,Agra,27.0,52.6,1.2,12.4,150,8,Summer
2016-03-20,Vadodara,15.0,49.0,2.1,7.4,150,8,Summer
2016-03-21,Lucknow,26.5,55.6,1.5,11.4,50,5,Summer
2016-03-22,Agra,17.9,91.4,3.1,10.1,300,2,Summer
2016-03-23,Lucknow,23.7,65.1,1.3,8.9,50,2,Summer
2016-03-24,Agra,43.2,50.4,2.1,1.4,100,2,Summer
2016-03-25,Nagpur,33.3,72.9,7.4,12.8,200,2,Summer
2016-03-26,Chennai,27.6,65.5,2.5,5.8,200,11,Summer
2016-03-27,Lucknow,29.6,100.0,1.0,8.6,300,11,Summer
2016-03-28,Kolkata,26.3,46.2,13.8,12.7,300,8,Summer
2016-03-29,Ludhiana,31.8,87.7,0.9,6.5,200,2,Summer
2016-03-30,Chennai,26.0,82.8,1.4,14.9,150,5,Summer
2016-03-31,Hyderabad,29.1,36.0,4.4,6.1,100,11,Summer
2016-04-01,Vadodara,34.6,49.6,1.1,13.9,50,2,Summer
2016-04-02,Ludhiana,33.5,100.0,1.7,9.4,200,11,Summer
2016-04-03,Kanpur,26.6,74.8,13.0,11.7,200,8,Summer
2016-04-04,Patna,45.0,100.0,3.7,5.4,150,2,Summer
2016-04-05,Kanpur,39.8,96.3,3.1,18.1,50,8,Summer
2016-04-06,Pune,35.2,55.5,0.5,19.5,300,8,Summer
2016-04-07,Chennai,25.7,44.5,2.2,0.7,300,5,Summer
2016-04-08,Chennai,26.8,58.3,12.9,12.8,150,11,Summer
2016-04-09,Delhi,27.9,55.4,3.9,12.2,150,5,Summer
2016-04-10,Pune,22.2,86.0,1.2,6.1,50,8,Summer
2016-04-11,Surat,31.4,29.8,15.2,11.6,50,11,Summer
2016-04-12,Ahmedabad,23.1,71.0,0.0,5.1,300,5,Summer
2016-04-13,Pune,24.2,61.9,5.4,2.5,200,8,Summer
2016-04-14,Lucknow,30.2,85.3,2.2,12.6,50,8,Summer
2016-04-15,Indore,36.8,69.7,5.5,4.6,300,5,Summer
2016-04-16,Ludhiana,20.4,45.9,6.7,8.7,200,2,Summer
2016-04-17,Jaipur,31.4,86.5,0.9,13.4,200,8,Summer
2016-04-18,Indore,24.8,20.0,11.8,17.6,300,11,Summer
2016-04-19,Pune,26.5,45.6,3.4,6.9,300,11,Summer
2016-04-20,Lucknow,23.7,56.0,4.1,5.5,300,11,Summer
2016-04-21,Mumbai,39.7,58.2,2.1,11.7,50,11,Summer
2016-04-22,Patna,27.5,46.1,4.8,12.7,50,8,Summer
2016-04-23,Patna,38.7,65.5,7.1,17.6,100,5,Summer
2016-04-24,Bangalore,28.6,80.4,5.9,4.9,300,8,Summer
2016-04-25,Vadodara,26.9,77.3,6.6,12.6,200,8,Summer
2016-04-26,Pune,38.3,35.2,3.5,10.9,200,2,Summer
2016-04-27,Agra,31.5,97.3,1.6,10.0,50,2,Summer
2016-04-28,Vadodara,35.3,71.3,0.2,13.2,200,5,Summer
2016-04-29,Delhi,26.0,54.4,3.0,12.3,200,8,Summer
2016-04-30,Mumbai,32.9,37.6,4.4,20.9,100,2,Summer
2016-05-01,Delhi,32.1,73.4,2.9,20.5,200,11,Summer
2016-05-02,Ahmedabad,20.7,85.1,1.1,-0.1,100,11,Summer
2016-05-03,Nagpur,36.5,61.5,0.5,13.2,300,11,Summer
2016-05-04,Bangalore,19.0,74.5,4.5,8.4,50,5,Summer
2016-05-05,Vadodara,28.5,58.5,4.9,12.5,200,2,Summer
2016-05-06,Jaipur,41.4,71.7,1.7,6.1,200,8,Summer
2016-05-07,Pune,45.0,60.5,1.7,10.2,150,11,Summer
2016-05-08,Patna,28.4,81.1,10.1,8.0,150,2,Summer
2016-05-09,Delhi,15.0,78.2,0.7,15.1,100,8,Summer
2016-05-10,Hyderabad,29.7,58.8,4.9,-2.4,150,11,Summer
2016-05-11,Bangalore,25.5,63.8,3.3,16.1,200,11,Summer
2016-05-12,Pune,31.6,65.4,0.1,-2.5,50,2,Summer
2016-05-13,Mumbai,26.7,72.0,0.2,9.0,100,8,Summer
2016-05-14,Mumbai,32.7,50.7,1.9,11.3,150,8,Summer
2016-05-15,Bangalore,18.6,73.7,7.4,12.4,50,11,Summer
2016-05-16,Chennai,19.7,70.1,5.2,8.3,300,5,Summer
2016-05-17,Kanpur,27.3,51.7,0.9,6.6,150,2,Summer
2016-05-18,Mumbai,31.8,41.8,20.2,14.3,200,2,Summer
2016-05-19,Kolkata,29.1,54.3,3.1,4.9,100,8,Summer
2016-05-20,Bhopal,19.5,46.4,12.3,3.3,100,5,Summer
2016-05-21,Surat,40.4,74.5,13.1,3.2,100,8,Summer
2016-05-22,Bhopal,33.0,82.7,1.1,9.7,50,11,Summer
2016-05-23,Nagpur,15.0,70.2,1.7,13.9,50,2,Summer
2016-05-24,Indore,39.3,90.1,7.7,2.4,50,5,Summer
2016-05-25,Kolkata,29.1,59.1,4.6,12.9,100,11,Summer
2016-05-26,Indore,34.3,59.1,3.9,4.6,100,5,Summer
2016-05-27,Nagpur,27.7,43.3,0.5,8.8,200,5,Summer
2016-05-28,Mumbai,27.4,100.0,3.6,17.2,50,8,Summer
2016-05-29,Patna,18.3,49.7,4.1,13.2,100,11,Summer
2016-05-30,Hyderabad,37.7,71.9,6.1,7.2,200,11,Summer
2016-05-31,Kolkata,15.0,56.5,0.5,10.5,150,8,Summer
2016-06-01,Nagpur,28.0,83.8,4.9,23.8,50,8,Monsoon
2016-06-02,Delhi,28.3,80.2,0.4,10.5,300,11,Monsoon
2016-06-03,Bhopal,27.2,65.1,0.6,5.7,200,5,Monsoon
2016-06-04,Indore,36.2,60.3,20.0,10.4,50,11,Monsoon
2016-06-05,Jaipur,37.3,27.2,13.4,8.6,150,8,Monsoon
2016-06-06,Indore,22.1,77.4,1.3,18.6,100,8,Monsoon
2016-06-07,Bangalore,30.2,83.3,2.1,3.8,300,2,Monsoon
2016-06-08,Lucknow,15.0,81.3,1.9,21.0,100,2,Monsoon
2016-06-09,Kolkata,23.6,75.8,1.6,2.8,50,11,Monsoon
2016-06-10,Nagpur,15.0,48.2,0.8,11.2,300,11,Monsoon
2016-06-11,Ghaziabad,19.2,51.3,3.4,8.9,150,11,Monsoon
2016-06-12,Patna,30.8,25.2,11.8,13.8,200,11,Monsoon
2016-06-13,Ahmedabad,38.1,46.2,9.3,11.2,300,11,Monsoon
2016-06-14,Ahmedabad,28.6,43.6,7.5,16.4,50,2,Monsoon
2016-06-15,Bhopal,23.8,66.4,5.4,4.7,150,5,Monsoon
2016-06-16,Kolkata,30.1,55.4,2.9,11.2,300,5,Monsoon
2016-06-17,Ludhiana,41.6,79.0,4.2,17.3,150,8,Monsoon
2016-06-18,Indore,26.6,67.5,1.3,10.9,100,11,Monsoon
2016-06-19,Patna,32.1,42.8,1.4,13.5,100,5,Monsoon
2016-06-20,Kolkata,27.5,61.6,3.7,5.7,300,5,Monsoon
2016-06-21,Nagpur,33.5,86.4,12.6,13.1,100,2,Monsoon
2016-06-22,Chennai,34.6,62.3,0.5,7.6,150,5,Monsoon
2016-06-23,Indore,32.7,68.1,4.3,2.0,200,8,Monsoon
2016-06-24,Lucknow,32.0,67.1,1.2,7.0,150,5,Monsoon
2016-06-25,Bhopal,32.7,71.2,15.2,14.6,200,11,Monsoon
2016-06-26,Bangalore,30.0,73.1,7.2,13.7,200,8,Monsoon
2016-06-27,Patna,26.2,60.9,2.3,20.4,50,2,Monsoon
2016-06-28,Mumbai,28.3,82.0,2.6,1.4,200,11,Monsoon
2016-06-29,Ludhiana,31.2,64.9,8.9,7.9,150,5,Monsoon
2016-06-30,Chennai,26.0,70.9,2.1,4.2,200,2,Monsoon
2016-07-01,Patna,15.0,34.7,4.3,15.1,50,8,Monsoon
2016-07-02,Hyderabad,26.7,100.0,2.9,17.2,300,2,Monsoon
2016-07-03,Jaipur,38.0,56.8,5.6,6.6,100,5,Monsoon
2016-07-04,Patna,39.4,44.1,8.2,12.8,200,8,Monsoon
2016-07-05,Kolkata,22.7,53.1,0.0,16.0,150,11,Monsoon
2016-07-06,Ludhiana,30.2,52.2,3.0,-2.3,150,11,Monsoon
2016-07-07,Bhopal,31.8,45.4,1.3,11.4,100,5,Monsoon
2016-07-08,Nagpur,33.8,49.6,3.1,9.2,100,2,Monsoon
2016-07-09,Mumbai,32.8,30.4,0.1,3.0,300,11,Monsoon
2016-07-10,Bhopal,21.1,38.6,24.2,13.9,200,2,Monsoon
2016-07-11,Jaipur,19.6,49.7,1.6,5.4,100,11,Monsoon
2016-07-12,Hyderabad,25.2,56.3,5.9,8.0,150,5,Monsoon
2016-07-13,Patna,28.2,60.1,8.1,6.7,300,5,Monsoon
2016-07-14,Lucknow,29.7,57.7,6.8,12.5,150,5,Monsoon
2016-07-15,Bangalore,25.2,82.3,0.8,5.7,150,5,Monsoon
2016-07-16,Hyderabad,22.1,66.6,3.6,10.0,200,8,Monsoon
2016-07-17,Nagpur,31.6,89.2,8.2,3.1,200,2,Monsoon
2016-07-18,Surat,36.8,78.4,19.1,-3.7,50,11,Monsoon
2016-07-19,Kolkata,37.1,48.6,1.6,5.5,50,11,Monsoon
2016-07-20,Kolkata,31.6,78.1,4.8,18.5,200,5,Monsoon
2016-07-21,Chennai,30.7,76.1,6.5,5.0,200,8,Monsoon
2016-07-22,Agra,34.4,82.0,1.4,13.9,200,8,Monsoon
2016-07-23,Kolkata,36.4,68.6,4.5,9.7,200,8,Monsoon
2016-07-24,Ghaziabad,18.0,82.5,0.9,4.6,300,11,Monsoon
2016-07-25,Lucknow,15.0,62.1,2.4,12.0,150,5,Monsoon
2016-07-26,Hyderabad,27.3,57.4,1.1,12.9,50,5,Monsoon
2016-07-27,Kolkata,41.3,100.0,2.0,11.6,50,2,Monsoon
2016-07-28,Chennai,29.3,53.5,9.9,21.1,100,8,Monsoon
2016-07-29,Kanpur,15.0,45.4,9.1,25.9,150,5,Monsoon
2016-07-30,Hyderabad,30.6,75.4,2.0,9.1,50,5,Monsoon
2016-07-31,Ludhiana,20.7,37.6,3.1,18.2,150,2,Monsoon
2016-08-01,Ludhiana,28.2,48.4,7.7,13.4,150,2,Monsoon
2016-08-02,Kolkata,23.5,66.8,2.2,10.3,150,8,Monsoon
2016-08-03,Patna,25.5,44.3,2.2,12.0,300,2,Monsoon
2016-08-04,Lucknow,35.1,67.8,0.6,7.3,300,5,Monsoon
2016-08-05,Mumbai,26.6,74.6,1.6,13.0,50,2,Monsoon
2016-08-06,Delhi,28.2,40.2,4.0,10.0,50,8,Monsoon
2016-08-07,Bangalore,25.7,65.9,6.2,8.3,300,8,Monsoon
2016-08-08,Kolkata,15.0,80.2,12.3,9.4,300,11,Monsoon
2016-08-09,Kolkata,29.1,84.1,2.9,13.2,100,2,Monsoon
2016-08-10,Vadodara,21.1,90.6,4.5,9.7,200,11,Monsoon
2016-08-11,Vadodara,15.4,76.6,1.7,10.3,100,2,Monsoon
2016-08-12,Ghaziabad,20.1,70.3,0.4,3.4,300,2,Monsoon
2016-08-13,Agra,18.3,85.4,5.5,7.1,200,2,Monsoon
2016-08-14,Vadodara,30.2,87.0,0.7,8.8,200,5,Monsoon
2016-08-15,Ludhiana,19.5,73.7,2.8,3.1,50,2,Monsoon
2016-08-16,Agra,22.3,78.5,10.1,13.6,200,2,Monsoon
2016-08-17,Hyderabad,15.0,79.4,2.1,11.6,150,8,Monsoon
2016-08-18,Chennai,30.5,67.6,13.0,13.9,200,2,Monsoon
2016-08-19,Agra,35.5,75.6,15.5,6.4,150,5,Monsoon
2016-08-20,Pune,15.0,52.8,10.2,4.1,150,5,Monsoon
2016-08-21,Nagpur,29.7,56.2,2.1,5.9,300,2,Monsoon
2016-08-22,Ahmedabad,28.8,100.0,3.6,10.0,50,5,Monsoon
2016-08-23,Indore,25.6,100.0,0.6,12.9,200,8,Monsoon
2016-08-24,Ghaziabad,20.2,33.2,1.9,18.7,100,11,Monsoon
2016-08-25,Patna,24.6,68.8,2.2,3.1,300,11,Monsoon
2016-08-26,Kanpur,18.6,25.1,0.5,14.4,150,11,Monsoon
2016-08-27,Ahmedabad,45.0,71.3,7.0,11.2,50,8,Monsoon
2016-08-28,Surat,29.7,68.4,6.5,7.2,100,11,Monsoon
2016-08-29,Surat,30.4,100.0,11.4,12.0,200,11,Monsoon
2016-08-30,Kanpur,26.1,34.8,0.3,10.1,150,5,Monsoon
2016-08-31,Ludhiana,29.2,32.8,3.9,2.8,50,5,Monsoon
2016-09-01,Surat,24.3,79.1,8.5,9.9,50,11,Autumn
2016-09-02,Agra,27.6,93.0,0.0,9.8,200,8,Autumn
2016-09-03,Lucknow,25.8,100.0,9.1,3.7,150,8,Autumn
2016-09-04,Chennai,27.5,83.6,17.3,4.1,150,5,Autumn
2016-09-05,Ghaziabad,15.0,45.7,2.6,15.6,150,5,Autumn
2016-09-06,Nagpur,34.2,58.4,8.1,11.0,50,11,Autumn
2016-09-07,Vadodara,22.5,60.6,3.1,7.7,200,2,Autumn
2016-09-08,Bangalore,37.4,71.4,0.3,7.5,100,2,Autumn
2016-09-09,Ghaziabad,29.8,100.0,6.6,13.9,150,8,Autumn
2016-09-10,Delhi,42.9,52.2,10.6,9.1,50,8,Autumn
2016-09-11,Indore,39.7,88.9,3.3,8.8,100,11,Autumn
2016-09-12,Surat,34.7,50.6,0.4,8.0,100,2,Autumn
2016-09-13,Bangalore,34.8,63.0,9.2,6.6,200,2,Autumn
2016-09-14,Surat,33.0,51.3,0.8,13.4,150,8,Autumn
2016-09-15,Kolkata,30.6,68.6,6.6,12.8,300,8,Autumn
2016-09-16,Ludhiana,23.3,93.7,5.1,0.0,150,2,Autumn
2016-09-17,Bangalore,26.9,64.6,11.3,4.3,150,2,Autumn
2016-09-18,Chennai,33.9,67.2,3.8,12.9,300,2,Autumn
2016-09-19,Hyderabad,22.1,48.7,7.1,9.0,200,2,Autumn
2016-09-20,Kolkata,26.3,100.0,4.2,9.5,100,2,Autumn
2016-09-21,Kolkata,15.0,26.7,2.3,26.5,200,5,Autumn
2016-09-22,Bangalore,15.5,64.8,0.6,0.5,50,8,Autumn
2016-09-23,Mumbai,33.7,73.0,11.1,9.5,50,11,Autumn
2016-09-24,Indore,26.4,64.4,8.1,8.4,100,2,Autumn
2016-09-25,Vadodara,27.3,50.0,2.7,16.1,300,2,Autumn
2016-09-26,Surat,30.9,39.7,2.2,14.6,150,8,Autumn
2016-09-27,Lucknow,18.7,46.7,11.3,10.3,100,8,Autumn
2016-09-28,Vadodara,20.1,65.8,2.1,2.8,50,5,Autumn
2016-09-29,Kanpur,33.1,81.0,1.2,5.1,100,8,Autumn
2016-09-30,Mumbai,30.6,81.2,3.3,13.8,100,8,Autumn
2016-10-01,Vadodara,15.0,71.1,11.1,1.3,300,5,Autumn
2016-10-02,Mumbai,33.6,80.7,1.7,6.0,150,2,Autumn
2016-10-03,Mumbai,19.6,71.8,1.6,7.1,300,11,Autumn
2016-10-04,Jaipur,22.4,80.9,0.3,9.4,150,11,Autumn
2016-10-05,Ghaziabad,25.3,67.3,4.8,6.4,300,11,Autumn
2016-10-06,Ghaziabad,15.0,61.3,5.9,10.4,150,5,Autumn
2016-10-07,Ghaziabad,18.1,74.6,5.0,9.5,50,8,Autumn
2016-10-08,Ludhiana,31.3,64.4,4.5,9.4,150,2,Autumn
2016-10-09,Mumbai,28.3,76.2,0.6,5.8,150,11,Autumn
2016-10-10,Agra,21.8,87.0,12.9,7.1,300,2,Autumn
2016-10-11,Agra,16.1,60.6,14.2,3.8,50,5,Autumn
2016-10-12,Agra,30.8,75.2,9.6,19.8,300,11,Autumn
2016-10-13,Ludhiana,28.6,63.0,10.9,14.7,200,5,Autumn
2016-10-14,Pune,32.9,52.8,0.3,4.9,100,2,Autumn
2016-10-15,Ahmedabad,30.3,58.9,18.8,9.2,300,2,Autumn
2016-10-16,Kolkata,31.4,58.7,2.4,8.7,300,8,Autumn
2016-10-17,Hyderabad,17.6,67.6,4.0,16.7,150,8,Autumn
2016-10-18,Surat,43.6,58.5,2.8,16.7,150,11,Autumn
2016-10-19,Surat,27.7,70.9,4.8,18.1,300,11,Autumn
2016-10-20,Kolkata,41.9,82.9,12.0,17.0,200,11,Autumn
2016-10-21,Ghaziabad,25.4,87.4,8.2,7.4,300,8,Autumn
2016-10-22,Delhi,34.1,94.0,2.1,0.8,100,2,Autumn
2016-10-23,Ahmedabad,19.2,99.1,0.9,13.8,300,11,Autumn
2016-10-24,Chennai,24.1,85.9,0.7,11.3,100,2,Autumn
2016-10-25,Nagpur,30.3,100.0,3.3,1.5,150,11,Autumn
2016-10-26,Bangalore,23.5,77.5,2.1,11.7,100,5,Autumn
2016-10-27,Ghaziabad,21.0,72.6,13.4,-3.0,50,8,Autumn
2016-10-28,Surat,45.0,61.9,0.1,9.6,50,11,Autumn
2016-10-29,Agra,24.1,62.7,0.4,12.6,100,2,Autumn
2016-10-30,Mumbai,23.0,68.7,1.5,11.0,150,11,Autumn
2016-10-31,Jaipur,30.7,47.8,11.3,8.6,50,2,Autumn
2016-11-01,Indore,37.1,74.0,0.3,16.3,50,2,Autumn
2016-11-02,Patna,41.6,49.3,3.7,8.5,150,5,Autumn
2016-11-03,Ahmedabad,30.9,67.4,0.1,19.3,200,11,Autumn
2016-11-04,Vadodara,25.4,89.5,5.5,2.2,300,5,Autumn
2016-11-05,Jaipur,31.1,62.3,1.6,10.6,200,2,Autumn
2016-11-06,Hyderabad,32.5,100.0,1.6,13.4,300,11,Autumn
2016-11-07,Delhi,27.3,35.3,7.7,0.2,100,5,Autumn
2016-11-08,Vadodara,23.3,52.7,1.0,6.0,200,11,Autumn
2016-11-09,Kolkata,19.7,57.0,13.7,6.4,150,5,Autumn
2016-11-10,Surat,33.2,50.2,2.1,5.3,100,8,Autumn
2016-11-11,Mumbai,45.0,36.9,0.8,8.8,150,5,Autumn
2016-11-12,Indore,27.5,76.6,6.1,16.0,300,2,Autumn
2016-11-13,Kanpur,27.2,85.9,1.9,9.0,200,11,Autumn
2016-11-14,Delhi,28.1,77.9,4.6,7.6,300,2,Autumn
2016-11-15,Jaipur,27.9,73.8,3.3,14.3,50,8,Autumn
2016-11-16,Chennai,32.7,54.7,12.6,6.1,150,5,Autumn
2016-11-17,Chennai,15.0,37.4,0.3,15.4,300,5,Autumn
2016-11-18,Chennai,21.9,41.8,0.5,5.5,150,2,Autumn
2016-11-19,Agra,18.4,70.3,1.7,10.2,200,11,Autumn
2016-11-20,Kanpur,41.8,87.0,6.2,13.8,300,11,Autumn
2016-11-21,Chennai,15.3,95.5,7.3,12.4,300,2,Autumn
2016-11-22,Pune,15.0,78.2,1.0,6.5,150,11,Autumn
2016-11-23,Vadodara,22.9,44.2,1.8,11.2,150,5,Autumn
2016-11-24,Pune,15.8,100.0,19.8,13.9,200,2,Autumn
2016-11-25,Kolkata,38.5,82.0,1.5,12.0,50,2,Autumn
2016-11-26,Patna,25.9,55.1,4.1,13.4,50,11,Autumn
2016-11-27,Mumbai,26.5,65.1,4.1,8.1,150,11,Autumn
2016-11-28,Surat,45.0,56.8,6.0,6.3,150,8,Autumn
2016-11-29,Indore,18.7,81.0,2.3,14.4,300,2,Autumn
2016-11-30,Jaipur,15.0,48.3,21.9,9.6,100,2,Autumn
2016-12-01,Kolkata,18.3,92.9,3.0,3.4,150,11,Winter
2016-12-02,Mumbai,41.1,44.2,5.9,13.6,50,8,Winter
2016-12-03,Delhi,30.9,68.4,0.9,14.1,150,2,Winter
2016-12-04,Surat,24.0,65.4,2.2,1.7,100,11,Winter
2016-12-05,Patna,39.6,56.4,2.0,11.8,300,8,Winter
2016-12-06,Vadodara,25.5,70.5,1.0,7.5,100,11,Winter
2016-12-07,Bangalore,39.6,70.9,13.1,5.5,300,11,Winter
2016-12-08,Ahmedabad,18.8,65.0,3.4,7.2,100,11,Winter
2016-12-09,Nagpur,32.9,75.8,3.7,10.1,300,8,Winter
2016-12-10,Indore,33.0,69.7,6.5,8.9,300,11,Winter
2016-12-11,Agra,39.2,63.3,1.1,15.2,150,11,Winter
2016-12-12,Ludhiana,22.5,50.8,0.3,20.5,100,5,Winter
2016-12-13,Nagpur,42.9,33.8,0.1,20.2,300,5,Winter
2016-12-14,Pune,30.1,47.0,1.6,-2.1,150,11,Winter
2016-12-15,Bhopal,25.7,20.0,1.3,4.3,300,2,Winter
2016-12-16,Patna,16.9,85.8,4.0,7.6,200,2,Winter
2016-12-17,Lucknow,25.8,56.5,0.5,9.0,100,5,Winter
2016-12-18,Ghaziabad,30.1,46.6,2.8,17.9,100,2,Winter
2016-12-19,Ahmedabad,35.6,78.5,1.7,13.9,100,8,Winter
2016-12-20,Agra,34.5,53.2,1.5,7.9,200,11,Winter
2016-12-21,Pune,21.4,39.9,2.5,15.4,150,2,Winter
2016-12-22,Chennai,39.1,83.3,13.2,5.4,300,11,Winter
2016-12-23,Mumbai,42.0,67.0,0.7,13.9,100,11,Winter
2016-12-24,Lucknow,30.3,87.3,6.9,12.3,50,2,Winter
2016-12-25,Bhopal,25.3,88.3,4.5,7.6,100,8,Winter
2016-12-26,Kanpur,27.6,42.9,1.8,18.1,100,8,Winter
2016-12-27,Ahmedabad,27.4,72.0,0.4,9.5,300,2,Winter
2016-12-28,Agra,26.6,62.2,7.5,11.9,50,11,Winter
2016-12-29,Jaipur,24.4,92.3,5.2,10.0,50,11,Winter
2016-12-30,Indore,33.0,38.7,4.3,6.6,50,2,Winter
2016-12-31,Lucknow,24.8,58.0,2.0,9.9,300,8,Winter
2017-01-01,Nagpur,33.8,48.6,5.3,11.0,50,5,Winter
2017-01-02,Bhopal,31.6,59.1,5.8,6.3,300,11,Winter
2017-01-03,Ghaziabad,29.7,100.0,20.2,2.7,150,11,Winter
2017-01-04,Surat,19.8,55.9,0.4,-1.0,200,8,Winter
2017-01-05,Bhopal,26.5,54.7,2.9,16.7,100,2,Winter
2017-01-06,Mumbai,33.0,47.3,5.4,11.9,100,5,Winter
